,MK_sig_frac,Monotonicity,Trendability,MI,VIF,MK_norm,Mono_norm,Trend_norm,MI_norm,VIF_norm,Composite
T24,1.0,0.031324521196858544,0.6511450802098274,0.32904399944035223,2.7871331819832124,0.9999999833333336,0.21144173568506738,0.0,0.0,0.997580015026311,0.4418043468089424
T30,1.0,0.031989360163414464,0.6542490669144962,0.3666770707331377,2.6696724352332333,0.9999999833333336,0.23603989444566706,0.018427046141275587,0.16459845218737507,1.0,0.4838130752215303
T50,1.0,0.03198992108159933,0.7553641470186839,0.47601341563788324,4.642010647148815,0.9999999833333336,0.23606064767352686,0.6187041813029868,0.6428106342102698,0.9593649030171083,0.6913880699074451
P30,1.0,0.04809978977570432,0.805696467619778,0.4980518094698416,47.415846830962614,0.9999999833333336,0.8321043931279062,0.9175057169921647,0.7392015315998103,0.07811696533633294,0.7133857180779095
Nf,1.0,0.03534210029464009,0.7554166726389926,0.4843806029589439,14.805628711729232,0.9999999833333336,0.36008682637889805,0.6190160035242518,0.6794067990965634,0.749968967139468,0.681695715894503
Nc,0.97,0.040278228452289004,0.7290689209589699,0.37633931031463685,15.050682773748981,0.4999999916666668,0.5427170123222813,0.462600631255945,0.2068588796556811,0.7449202409544428,0.49141935117100344
Ps30,1.0,0.03251212434531549,0.7907294390400337,0.5576796313559331,5.688551158311221,0.9999999833333336,0.25538147486982654,0.828652847286924,0.9999999956262285,0.9378035526814036,0.8043675707595433
phi,1.0,0.05263767077120212,0.8195924082538495,0.5124941597320642,51.20747247310069,0.9999999833333336,0.9999999630013282,0.9999999940634262,0.8023690706139724,2.060240866796903e-11,0.7604738022065327
NRf,1.0,0.033359854292904424,0.7532007539033646,0.4841878958156869,14.701910454323276,0.9999999833333336,0.28674635702306533,0.6058610384191128,0.6785639420982923,0.7521058224836101,0.6646554286714828
NRc,0.94,0.05240669539395744,0.735134785925544,0.36513206875402293,13.218119807717509,0.0,0.9914541808118659,0.49861108628066597,0.15784096666592426,0.7826756185068662,0.4861163704530645
BPR,1.0,0.032249918679831825,0.7500000710338114,0.44925809194792254,6.94475580976036,0.9999999833333336,0.2456802134938459,0.5868599483589864,0.5257889637524565,0.9119225970047307,0.6540503411886707
htBleed,1.0,0.025860257782531936,0.6929889042411003,0.4102671263189328,3.1903921287670705,0.9999999833333336,0.009271246684349223,0.24840894936563446,0.35525139210724244,0.989271872785399,0.5204406888551918
W31,1.0,0.033936148015645845,0.7108641925393708,0.34700937833281653,5.626789732980446,0.9999999833333336,0.3080684593633742,0.35452691751459237,0.0785764609976506,0.9390759924145872,0.5360495627247076
W32,1.0,0.0256096745529375,0.7124642015628132,0.34932242650622936,5.805322611630587,0.9999999833333336,0.0,0.3640254891602385,0.08869320502357796,0.9353977688752595,0.47762328927848186
