engine_id,n_cycles,true_rul,pred_rul,final_abs_error
1,233,44.0,93.09561618636144,49.09561618636144
2,124,51.0,123.49146348258,72.49146348258
3,234,27.0,20.86306805093045,6.136931949069549
4,68,120.0,164.9578190055181,44.957819005518104
5,138,101.0,220.56732119036678,119.56732119036678
6,64,99.0,131.20928397833268,32.20928397833268
7,158,71.0,91.57930726164705,20.579307261647045
8,192,55.0,98.54426552115547,43.54426552115547
9,238,55.0,84.2722773006717,29.272277300671703
10,131,66.0,135.46259339853714,69.46259339853714
11,103,77.0,98.25565178659599,21.25565178659599
12,146,115.0,107.94756515725749,7.052434842742514
13,65,115.0,130.51094517841557,15.510945178415568
14,169,31.0,74.68653508937496,43.686535089374956
15,112,108.0,210.99927758333433,102.99927758333433
16,126,56.0,229.48823507752968,173.48823507752968
17,230,136.0,175.20302892538894,39.203028925388935
18,244,132.0,185.49079369051105,53.490793690511055
19,115,85.0,174.2801744585595,89.28017445855949
20,207,56.0,87.26100984754521,31.26100984754521
21,263,18.0,25.523839437493734,7.523839437493734
22,119,119.0,178.46378785935303,59.46378785935303
23,405,78.0,115.65146573050515,37.65146573050515
24,475,9.0,-27.512255335877853,36.51225533587785
25,169,58.0,63.03277293469364,5.032772934693639
26,130,11.0,26.875883784578036,15.875883784578036
27,104,88.0,141.93505459389053,53.93505459389053
28,70,144.0,156.60581547858237,12.605815478582372
29,89,124.0,141.13260203372556,17.13260203372556
30,333,89.0,113.54556847675121,24.545568476751214
31,152,79.0,152.54694036833098,73.54694036833098
32,120,55.0,57.179627731686196,2.179627731686196
33,180,71.0,110.48385959613734,39.483859596137336
34,105,65.0,92.96077882492318,27.96077882492318
35,144,87.0,189.6570061786806,102.6570061786806
36,90,137.0,203.98930758821734,66.98930758821734
37,47,145.0,175.37489702539824,30.37489702539824
38,133,22.0,38.07867541750238,16.07867541750238
39,310,8.0,-21.990072371740098,29.990072371740098
40,313,41.0,66.8728764831576,25.872876483157597
41,101,131.0,221.1923617033426,90.19236170334261
42,87,115.0,97.97777127939116,17.022228720608837
43,133,128.0,194.48380589382577,66.48380589382577
44,146,69.0,69.21947800777343,0.21947800777343218
45,88,111.0,190.3036137099989,79.3036137099989
46,180,7.0,-30.49196614295579,37.49196614295579
47,56,137.0,164.27554539111588,27.275545391115884
48,179,55.0,86.78634571089424,31.78634571089424
49,211,135.0,237.96050689745243,102.96050689745243
50,147,11.0,12.63718635868645,1.6371863586864492
51,118,78.0,136.39004318148,58.390043181479996
52,38,120.0,182.56531827794606,62.56531827794606
53,108,87.0,149.9229627421555,62.922962742155505
54,50,87.0,156.9679076033026,69.96790760330259
55,203,55.0,54.77241542943011,0.22758457056988846
56,162,93.0,103.10086922669507,10.100869226695067
57,158,88.0,93.56175356855238,5.561753568552376
58,119,40.0,114.65735871958532,74.65735871958532
59,149,49.0,77.39491940355583,28.394919403555832
60,112,128.0,140.90339727979517,12.903397279795172
61,78,129.0,231.1933910840453,102.19339108404529
62,224,58.0,115.91884715594279,57.918847155942785
63,137,117.0,190.5892455523026,73.5892455523026
64,271,28.0,53.85494647212181,25.85494647212181
65,79,115.0,198.37067394533005,83.37067394533005
66,122,87.0,139.72797447727135,52.727974477271346
67,186,92.0,128.4287371911414,36.42873719114141
68,188,103.0,201.6214796615568,98.6214796615568
69,105,100.0,204.17244497073625,104.17244497073625
70,84,63.0,94.77052943993112,31.770529439931124
71,367,35.0,-0.8366106127396051,35.836610612739605
72,232,45.0,138.43280868172224,93.43280868172224
73,109,99.0,156.40056450468182,57.400564504681824
74,68,117.0,193.05018793119962,76.05018793119962
75,191,45.0,92.65494579223741,47.65494579223741
76,180,27.0,83.38643411447629,56.38643411447629
77,381,86.0,93.26519124871265,7.265191248712654
78,279,20.0,15.091939399389958,4.9080606006100425
79,170,18.0,35.25132197206767,17.25132197206767
80,85,133.0,217.17843175305825,84.17843175305825
81,155,15.0,62.408196189498994,47.408196189498994
82,194,6.0,-45.249072784816235,51.249072784816235
83,168,145.0,124.63898587134099,20.361014128659008
84,76,104.0,160.41500315346275,56.41500315346275
85,118,56.0,130.40630643155237,74.40630643155237
86,174,25.0,18.721661398896686,6.278338601103314
87,218,68.0,130.051900834118,62.05190083411799
88,41,144.0,219.14274632865636,75.14274632865636
89,120,41.0,147.9121661942736,106.9121661942736
90,206,51.0,95.55062373878536,44.55062373878536
91,56,81.0,170.59827451644742,89.59827451644742
92,266,14.0,-45.24967166640636,59.24967166640636
93,158,67.0,143.00251705819755,76.00251705819755
94,333,10.0,-72.58552152462289,82.58552152462289
95,213,127.0,160.64948472524702,33.64948472524702
96,358,113.0,86.32185630666572,26.678143693334277
97,95,123.0,193.56286466045276,70.56286466045276
98,182,17.0,30.769827149899356,13.769827149899356
99,289,8.0,-41.36155052882896,49.36155052882896
100,247,28.0,70.92166096868095,42.92166096868095
