strategy,engine_id,n_cycles,true_rul,final_rul_median,final_abs_error,trajectory_rmse
one_shot,1,233,44.0,63.0,19.0,111.70985755374551
one_shot,2,124,51.0,182.0,131.0,222.46311763903117
one_shot,3,234,27.0,2.5,24.5,92.54605575548553
one_shot,4,68,120.0,236.0,116.0,234.13814895082274
one_shot,5,138,101.0,211.0,110.0,140.69063605110244
one_shot,6,64,99.0,201.5,102.5,266.22622399709235
one_shot,7,158,71.0,189.0,118.0,148.22871375775506
one_shot,8,192,55.0,143.0,88.0,113.73735621121438
one_shot,9,238,55.0,158.0,103.0,108.67611950000715
one_shot,10,131,66.0,199.5,133.5,194.63707664022658
one_shot,11,103,77.0,184.5,107.5,201.1681058123193
one_shot,12,146,115.0,187.5,72.5,129.34648037848334
one_shot,13,65,115.0,220.0,105.0,258.17279544462525
one_shot,14,169,31.0,131.0,100.0,166.2691329026919
one_shot,15,112,108.0,167.0,59.0,132.6427465573814
one_shot,16,126,56.0,199.5,143.5,196.63242740691706
one_shot,17,230,136.0,222.0,86.0,84.16052854644742
one_shot,18,244,132.0,260.5,128.5,106.31917709441127
one_shot,19,115,85.0,202.0,117.0,179.82420763671922
one_shot,20,207,56.0,102.5,46.5,127.15793367548231
one_shot,21,263,18.0,4.0,14.0,84.42459006026684
one_shot,22,119,119.0,186.5,67.5,141.20509251178055
one_shot,23,405,78.0,72.0,6.0,80.05708225855528
one_shot,24,475,9.0,1.0,8.0,85.84431440572796
one_shot,25,169,58.0,140.5,82.5,135.9949474783713
one_shot,26,130,11.0,156.5,145.5,258.7934541735492
one_shot,27,104,88.0,159.0,71.0,185.38044301879893
one_shot,28,70,144.0,240.0,96.0,203.59186238298287
one_shot,29,89,124.0,254.5,130.5,200.10665695399385
one_shot,30,333,89.0,114.0,25.0,52.204516677789115
one_shot,31,152,79.0,223.5,144.5,164.9064078659867
one_shot,32,120,55.0,170.0,115.0,178.50332629953985
one_shot,33,180,71.0,195.5,124.5,147.51298436258267
one_shot,34,105,65.0,180.0,115.0,210.91224760662
one_shot,35,144,87.0,199.5,112.5,152.981213670539
one_shot,36,90,137.0,205.0,68.0,143.3171502492132
one_shot,37,47,145.0,237.0,92.0,276.7602753286678
one_shot,38,133,22.0,156.0,134.0,224.46480625728458
one_shot,39,310,8.0,1.0,7.0,98.05900133050245
one_shot,40,313,41.0,28.5,12.5,49.3656404159221
one_shot,41,101,131.0,226.5,95.5,164.72202056618278
one_shot,42,87,115.0,192.5,77.5,197.46168695747525
one_shot,43,133,128.0,154.5,26.5,73.80868380150996
one_shot,44,146,69.0,155.5,86.5,159.21278408607253
one_shot,45,88,111.0,245.0,134.0,215.0396303327281
one_shot,46,180,7.0,1.0,6.0,114.0965052050237
one_shot,47,56,137.0,252.0,115.0,266.0259285161075
one_shot,48,179,55.0,137.5,82.5,126.1666285371238
one_shot,49,211,135.0,261.0,126.0,100.06657144311055
one_shot,50,147,11.0,107.0,96.0,196.47008219390278
one_shot,51,118,78.0,195.5,117.5,179.52929863338912
one_shot,52,38,120.0,268.0,148.0,317.91143048273517
one_shot,53,108,87.0,219.0,132.0,206.28720203207521
one_shot,54,50,87.0,209.0,122.0,298.2200445979445
one_shot,55,203,55.0,126.5,71.5,112.07936139732206
one_shot,56,162,93.0,198.0,105.0,137.99639912997552
one_shot,57,158,88.0,169.0,81.0,128.66825166816315
one_shot,58,119,40.0,187.0,147.0,236.37666227990493
one_shot,59,149,49.0,178.5,129.5,184.9211604183518
one_shot,60,112,128.0,227.5,99.5,159.15320000373404
one_shot,61,78,129.0,176.5,47.5,125.18912615595777
one_shot,62,224,58.0,164.0,106.0,173.3190828047671
one_shot,63,137,117.0,201.5,84.5,122.87951044658031
one_shot,64,271,28.0,24.0,4.0,81.42531610820454
one_shot,65,79,115.0,335.0,220.0,253.5259892302757
one_shot,66,122,87.0,183.5,96.5,162.9124840490022
one_shot,67,186,92.0,127.5,35.5,93.89670600105981
one_shot,68,188,103.0,192.0,89.0,94.43448702897439
one_shot,69,105,100.0,286.5,186.5,243.9373895080457
one_shot,70,84,63.0,207.5,144.5,261.99690451642834
one_shot,71,367,35.0,1.0,34.0,58.2795457222453
one_shot,72,232,45.0,56.0,11.0,47.3642342876476
one_shot,73,109,99.0,247.0,148.0,191.90979460688047
one_shot,74,68,117.0,323.0,206.0,289.5618965122392
one_shot,75,191,45.0,82.5,37.5,91.98353056546568
one_shot,76,180,27.0,163.5,136.5,177.259782679421
one_shot,77,381,86.0,67.0,19.0,95.01623704313526
one_shot,78,279,20.0,1.0,19.0,61.02191274554943
one_shot,79,170,18.0,104.5,86.5,156.48045828003384
one_shot,80,85,133.0,252.0,119.0,163.51001948072857
one_shot,81,155,15.0,15.0,0.0,181.67853566830794
one_shot,82,194,6.0,1.0,5.0,182.75312554620567
one_shot,83,168,145.0,193.0,48.0,91.39648223146071
one_shot,84,76,104.0,289.0,185.0,287.05798974019905
one_shot,85,118,56.0,148.5,92.5,193.81568870047823
one_shot,86,174,25.0,111.0,86.0,154.69192594968553
one_shot,87,218,68.0,178.0,110.0,107.50499241661018
one_shot,88,41,144.0,285.5,141.5,300.2058744814477
one_shot,89,120,41.0,120.0,79.0,141.57618679236515
one_shot,90,206,51.0,171.5,120.5,122.84494726264147
one_shot,91,56,81.0,194.0,113.0,297.50539460895254
one_shot,92,266,14.0,1.0,13.0,69.38635431706679
one_shot,93,158,67.0,144.0,77.0,120.99286645987529
one_shot,94,333,10.0,1.0,9.0,59.33456067158575
one_shot,95,213,127.0,165.0,38.0,66.61632488950465
one_shot,96,358,113.0,51.5,61.5,124.36294086846175
one_shot,97,95,123.0,208.0,85.0,176.49660053383465
one_shot,98,182,17.0,120.5,103.5,168.6465881756779
one_shot,99,289,8.0,1.0,7.0,58.86438287227902
one_shot,100,247,28.0,28.0,0.0,66.74972895667422
periodic,1,233,44.0,49.5,5.5,83.05357260676257
periodic,2,124,51.0,155.0,104.0,198.4856478926243
periodic,3,234,27.0,1.0,26.0,89.88612216168276
periodic,4,68,120.0,263.5,143.5,249.6678528860011
periodic,5,138,101.0,270.0,169.0,193.0283920694765
periodic,6,64,99.0,240.0,141.0,283.90046946509267
periodic,7,158,71.0,187.5,116.5,148.03497705062728
periodic,8,192,55.0,155.0,100.0,137.67152653599072
periodic,9,238,55.0,176.0,121.0,119.05867224597623
periodic,10,131,66.0,210.0,144.0,200.8422009804127
periodic,11,103,77.0,224.0,147.0,225.11556363408386
periodic,12,146,115.0,171.0,56.0,119.63329386086467
periodic,13,65,115.0,220.0,105.0,256.9470687784668
periodic,14,169,31.0,145.0,114.0,169.95857483446758
periodic,15,112,108.0,185.0,77.0,147.7958367986054
periodic,16,126,56.0,293.0,237.0,306.98418151170705
periodic,17,230,136.0,198.0,62.0,62.84282498562516
periodic,18,244,132.0,258.5,126.5,116.81771739920558
periodic,19,115,85.0,295.0,210.0,242.52699984161333
periodic,20,207,56.0,93.0,37.0,102.48621917493564
periodic,21,263,18.0,24.0,6.0,165.45753191354012
periodic,22,119,119.0,209.5,90.5,163.41904299513376
periodic,23,405,78.0,98.0,20.0,59.5466774062454
periodic,24,475,9.0,1.0,8.0,48.99082620890955
periodic,25,169,58.0,148.0,90.0,147.13406618439072
periodic,26,130,11.0,114.0,103.0,210.79666195722288
periodic,27,104,88.0,145.0,57.0,177.80604033825517
periodic,28,70,144.0,282.0,138.0,226.46015101999734
periodic,29,89,124.0,202.0,78.0,182.82141928208142
periodic,30,333,89.0,157.0,68.0,108.39614949445956
periodic,31,152,79.0,294.0,215.0,212.93298766711115
periodic,32,120,55.0,173.0,118.0,184.5688162086615
periodic,33,180,71.0,246.0,175.0,193.2942417375357
periodic,34,105,65.0,191.5,126.5,217.44578963174115
periodic,35,144,87.0,186.5,99.5,144.8190801387104
periodic,36,90,137.0,172.0,35.0,120.35711907116716
periodic,37,47,145.0,206.5,61.5,243.87495705966012
periodic,38,133,22.0,135.0,113.0,219.48747973266833
periodic,39,310,8.0,1.0,7.0,115.4164828615438
periodic,40,313,41.0,38.0,3.0,74.18811359027177
periodic,41,101,131.0,205.0,74.0,147.12519926044533
periodic,42,87,115.0,169.0,54.0,185.97839294842333
periodic,43,133,128.0,142.0,14.0,60.64547848067798
periodic,44,146,69.0,183.0,114.0,167.0019122603994
periodic,45,88,111.0,287.5,176.5,235.81037740292322
periodic,46,180,7.0,1.0,6.0,136.05679982190443
periodic,47,56,137.0,272.5,135.5,262.4401802588272
periodic,48,179,55.0,132.0,77.0,129.43283023213021
periodic,49,211,135.0,315.5,180.5,142.16518827861427
periodic,50,147,11.0,101.0,90.0,207.46595491545014
periodic,51,118,78.0,190.5,112.5,179.27562578331722
periodic,52,38,120.0,268.0,148.0,317.91143048273517
periodic,53,108,87.0,221.5,134.5,210.17993283533673
periodic,54,50,87.0,261.5,174.5,334.9835667611174
periodic,55,203,55.0,141.0,86.0,127.26321584957054
periodic,56,162,93.0,170.5,77.5,131.6905041712913
periodic,57,158,88.0,196.0,108.0,145.63342114511482
periodic,58,119,40.0,161.5,121.5,223.36991683729292
periodic,59,149,49.0,137.0,88.0,170.30577021677075
periodic,60,112,128.0,205.5,77.5,164.08362959174204
periodic,61,78,129.0,197.5,68.5,138.582834157326
periodic,62,224,58.0,151.0,93.0,149.86433969593966
periodic,63,137,117.0,189.0,72.0,118.8738213462487
periodic,64,271,28.0,37.0,9.0,135.57449171738776
periodic,65,79,115.0,313.0,198.0,265.2517194733039
periodic,66,122,87.0,229.0,142.0,178.7091349596679
periodic,67,186,92.0,137.5,45.5,93.03166012141371
periodic,68,188,103.0,296.0,193.0,187.5023475030351
periodic,69,105,100.0,213.5,113.5,187.53959581912295
periodic,70,84,63.0,212.5,149.5,261.80472548392686
