strategy,engine_id,n_cycles,true_rul,final_rul_median,final_abs_error,trajectory_rmse
fixed_parameters,1,233,44.0,47.0,3.0,114.45965141732307
fixed_parameters,2,124,51.0,234.5,183.5,191.48293320731594
fixed_parameters,3,234,27.0,1.0,26.0,52.52517711316384
fixed_parameters,4,68,120.0,279.5,159.5,178.1836358598491
fixed_parameters,5,138,101.0,350.0,249.0,184.84362760632746
fixed_parameters,6,64,99.0,305.0,206.0,212.86279691975298
fixed_parameters,7,158,71.0,234.5,163.5,135.33941743406612
fixed_parameters,8,192,55.0,217.0,162.0,133.91170618016685
fixed_parameters,9,238,55.0,255.5,200.5,144.55022970429008
fixed_parameters,10,131,66.0,286.5,220.5,190.94058565927884
fixed_parameters,11,103,77.0,219.0,142.0,172.62286323839425
fixed_parameters,12,146,115.0,256.0,141.0,112.26598186864757
fixed_parameters,13,65,115.0,275.5,160.5,187.99001610151043
fixed_parameters,14,169,31.0,206.0,175.0,166.411685624616
fixed_parameters,15,112,108.0,303.0,195.0,184.7655307119965
fixed_parameters,16,126,56.0,350.0,294.0,234.33985292021217
fixed_parameters,17,230,136.0,226.5,90.5,62.66307421093556
fixed_parameters,18,244,132.0,329.5,197.5,116.91754836103132
fixed_parameters,19,115,85.0,300.0,215.0,189.97692079508658
fixed_parameters,20,207,56.0,75.0,19.0,99.33532120372563
fixed_parameters,21,263,18.0,1.0,17.0,169.8414016399612
fixed_parameters,22,119,119.0,241.0,122.0,150.1853476723418
fixed_parameters,23,405,78.0,68.0,10.0,67.49377200349126
fixed_parameters,24,475,9.0,1.0,8.0,54.53120304250731
fixed_parameters,25,169,58.0,210.0,152.0,140.0486126504845
fixed_parameters,26,130,11.0,212.5,201.5,236.31285081759404
fixed_parameters,27,104,88.0,124.5,36.5,134.20314144265373
fixed_parameters,28,70,144.0,347.0,203.0,170.805141692431
fixed_parameters,29,89,124.0,285.0,161.0,163.59060987859124
fixed_parameters,30,333,89.0,144.0,55.0,105.2416602731877
fixed_parameters,31,152,79.0,273.5,194.5,166.47436877948005
fixed_parameters,32,120,55.0,234.5,179.5,175.86015988089324
fixed_parameters,33,180,71.0,253.5,182.5,156.38253490151072
fixed_parameters,34,105,65.0,228.0,163.0,187.66298313225025
fixed_parameters,35,144,87.0,198.5,111.5,137.784824948581
fixed_parameters,36,90,137.0,350.0,213.0,170.41593724375272
fixed_parameters,37,47,145.0,317.5,172.5,181.78823604941397
fixed_parameters,38,133,22.0,225.0,203.0,221.5683544964978
fixed_parameters,39,310,8.0,1.0,7.0,134.5992199085864
fixed_parameters,40,313,41.0,12.0,29.0,120.00412000382059
fixed_parameters,41,101,131.0,350.0,219.0,169.87008722742644
fixed_parameters,42,87,115.0,233.5,118.5,150.58360605920257
fixed_parameters,43,133,128.0,320.5,192.5,159.30929391538822
fixed_parameters,44,146,69.0,225.0,156.0,146.68243935010977
fixed_parameters,45,88,111.0,330.5,219.5,185.25471561903873
fixed_parameters,46,180,7.0,1.0,6.0,196.86708714256937
fixed_parameters,47,56,137.0,301.0,164.0,179.295956949875
fixed_parameters,48,179,55.0,205.0,150.0,132.6713396236802
fixed_parameters,49,211,135.0,350.0,215.0,125.73782247199925
fixed_parameters,50,147,11.0,165.5,154.5,191.42085983045655
fixed_parameters,51,118,78.0,266.5,188.5,178.07126977321207
fixed_parameters,52,38,120.0,350.0,230.0,211.78408816528216
fixed_parameters,53,108,87.0,266.5,179.5,176.77152941328282
fixed_parameters,54,50,87.0,336.5,249.5,238.5268119101079
fixed_parameters,55,203,55.0,192.5,137.5,128.8570158814487
fixed_parameters,56,162,93.0,236.5,143.5,121.64418234656942
fixed_parameters,57,158,88.0,256.0,168.0,133.57755060382135
fixed_parameters,58,119,40.0,244.0,204.0,213.30670899163096
fixed_parameters,59,149,49.0,226.5,177.5,172.64837991492513
fixed_parameters,60,112,128.0,244.0,116.0,132.2498059004787
fixed_parameters,61,78,129.0,350.0,221.0,183.69358544416662
fixed_parameters,62,224,58.0,183.5,125.5,168.3232732879121
fixed_parameters,63,137,117.0,207.5,90.5,88.46303199188394
fixed_parameters,64,271,28.0,4.0,24.0,154.7799056343939
fixed_parameters,65,79,115.0,349.5,234.5,193.13842841766515
fixed_parameters,66,122,87.0,242.5,155.5,146.90145297186785
fixed_parameters,67,186,92.0,149.0,57.0,74.18016972645157
fixed_parameters,68,188,103.0,350.0,247.0,162.76138143685694
fixed_parameters,69,105,100.0,269.5,169.5,173.81842606034388
fixed_parameters,70,84,63.0,272.0,209.0,211.4613833934382
fixed_parameters,71,367,35.0,1.0,34.0,39.72860073827486
fixed_parameters,72,232,45.0,89.0,44.0,145.48989403818183
fixed_parameters,73,109,99.0,319.0,220.0,178.70319044502077
fixed_parameters,74,68,117.0,306.5,189.5,191.2635808326854
fixed_parameters,75,191,45.0,144.5,99.5,189.64750299613797
fixed_parameters,76,180,27.0,240.0,213.0,197.24074756499985
fixed_parameters,77,381,86.0,71.5,14.5,70.55352950019143
fixed_parameters,78,279,20.0,1.0,19.0,129.72229436729054
fixed_parameters,79,170,18.0,192.0,174.0,181.54243143619263
fixed_parameters,80,85,133.0,350.0,217.0,176.71162949845717
fixed_parameters,81,155,15.0,1.0,14.0,195.82605431450406
fixed_parameters,82,194,6.0,1.0,5.0,143.30962802455417
fixed_parameters,83,168,145.0,232.5,87.5,67.78456331503158
fixed_parameters,84,76,104.0,294.0,190.0,199.9791436493737
fixed_parameters,85,118,56.0,199.0,143.0,191.57334746155874
fixed_parameters,86,174,25.0,166.5,141.5,162.8771220784298
fixed_parameters,87,218,68.0,262.5,194.5,148.64270858845973
fixed_parameters,88,41,144.0,350.0,206.0,186.3759641155479
fixed_parameters,89,120,41.0,242.0,201.0,239.05354177115495
fixed_parameters,90,206,51.0,237.0,186.0,151.033639280045
fixed_parameters,91,56,81.0,290.0,209.0,234.4209335941286
fixed_parameters,92,266,14.0,1.0,13.0,107.90546893259818
fixed_parameters,93,158,67.0,227.5,160.5,173.96319449232556
fixed_parameters,94,333,10.0,1.0,9.0,30.244970792815426
fixed_parameters,95,213,127.0,204.5,77.5,77.78855866485077
